,washing_machine_name,washing_machine_price,washing_machine_ratings,washing_machine_description
13,"Whirlpool 8 kg 5 Star Inverter Steam Technology, 100+ Tough Stains, 6th Sense Soft Move Fully Automati...","Rs.30,990",4.1,"Whirlpool 8 kg 5 Star Inverter Steam Technology, 100+ Tough Stains, 6th Sense Soft Move Fully Automati...4.11,021 Ratings & 90 Reviews1400 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty; 8 years additional warranty on Motor₹30,990₹37,55017% offHot DealUpto ₹2,300 Off on Exchange"
14,"LG 8 kg 5 Star, AI Direct Drive Technology, Steam, 6 Motion DD Fully Automatic Front Load Washing Mach...","Rs.35,900",4.4,"LG 8 kg 5 Star, AI Direct Drive Technology, Steam, 6 Motion DD Fully Automatic Front Load Washing Mach...4.46,625 Ratings & 508 Reviews1200 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor₹35,900₹50,99029% offOnly 1 leftUpto ₹2,300 Off on Exchange"
15,BOSCH 7 kg with Steam Fully Automatic Front Load Washing Machine with In-built Heater Silver,"Rs.29,990",4.3,"BOSCH 7 kg with Steam Fully Automatic Front Load Washing Machine with In-built Heater Silver4.39,805 Ratings & 783 Reviews1200 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor₹29,990₹49,99040% offUpto ₹2,300 Off on ExchangeBank Offer"
16,"Whirlpool 9 kg Ozone Technology 5 Star Inverter 100+ Tough Stains, 1400 RPM Fully Automatic Front Load...","Rs.34,990",4.1,"Whirlpool 9 kg Ozone Technology 5 Star Inverter 100+ Tough Stains, 1400 RPM Fully Automatic Front Load...4.11,021 Ratings & 90 Reviews1200 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor₹34,990₹43,20019% offHot DealUpto ₹2,300 Off on Exchange"
17,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front ...","Rs.38,590",4.3,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front ...4.392,057 Ratings & 8,969 Reviews1400 RPM Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support₹38,590₹49,09021% offHot DealUpto ₹2,300 Off on Exchange"
18,"LG 9 kg 5 Star, AI Direct Drive Technology, 6 Motion Direct Drive, Steam Fully Automatic Top Load Wash...","Rs.27,990",4.4,"LG 9 kg 5 Star, AI Direct Drive Technology, 6 Motion Direct Drive, Steam Fully Automatic Top Load Wash...4.476,400 Ratings & 5,519 Reviews780 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor₹27,990₹36,49023% offUpto ₹2,300 Off on ExchangeBank Offer"
19,"LG 7 kg 5 Star, Allergen free with Steam, Inverter Direct Drive - Less vibration, less noise, 6 Motion...","Rs.25,990",4.3,"LG 7 kg 5 Star, Allergen free with Steam, Inverter Direct Drive - Less vibration, less noise, 6 Motion...4.3340 Ratings & 20 Reviews1200 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive and 10 Years on Motor (T&C Apply)₹25,990₹42,49038% offHot DealOnly few left"
20,BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"Rs.35,990",4.3,"BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White4.39,805 Ratings & 783 Reviews1200 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor₹35,990₹56,49036% offHot DealUpto ₹2,300 Off on Exchange"
21,"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...","Rs.28,990",4.3,"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...4.392,057 Ratings & 8,969 Reviews1200 RPM Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support₹28,990₹37,16021% offHot DealUpto ₹2,300 Off on Exchange"
22,BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"Rs.33,990",4.3,"BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey4.39,805 Ratings & 783 Reviews1400 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor₹33,990₹51,49033% offHot DealUpto ₹2,300 Off on Exchange"
23,BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"Rs.38,900",4.3,"BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey4.39,805 Ratings & 783 Reviews1200 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor₹38,900₹59,99035% offUpto ₹2,300 Off on ExchangeBank Offer"
